Date,Open,High,Low,Close,BEL,Volume
07-10-2022,105.199997,106.5,104,106.25,104.417351,20045623
10-10-2022,105.099998,105.599998,103.949997,104.449997,102.648392,11511957
11-10-2022,105,105.400002,102.550003,103.050003,101.272552,11739022
12-10-2022,102.650002,103.449997,101,103.25,101.469101,6659580
13-10-2022,103.25,104.400002,101.050003,101.400002,99.651009,7795689
14-10-2022,103,103.599998,100.449997,100.800003,99.061363,7476515
17-10-2022,100.5,102.75,99.949997,101.800003,100.044106,9943468
18-10-2022,102.349998,106.900002,102.050003,105.949997,104.12252,21766333
19-10-2022,106.650002,109.199997,105.300003,105.900002,104.073395,22878764
20-10-2022,106.800003,109.150002,106.550003,108,106.137169,25579790
21-10-2022,108.550003,108.949997,102.699997,103.550003,101.763931,19880033
24-10-2022,104.599998,105.349998,104.349998,104.800003,102.992363,3728536
25-10-2022,105,105.5,103.550003,105.050003,103.23806,13217298
27-10-2022,105.650002,108.900002,105.199997,107.849998,105.989754,29990758
28-10-2022,108,108.550003,103.900002,105.349998,103.532875,20059496
31-10-2022,105.900002,107.199997,105.150002,106.849998,105.007004,12793983
01-11-2022,107.300003,110.400002,106.75,108.5,106.62854,26521676
02-11-2022,108.5,110.25,106.800003,107.099998,105.252686,19881462
03-11-2022,106.800003,112.199997,106.5,109.949997,108.053535,34173239
04-11-2022,110.599998,111.400002,108.599998,108.949997,107.070778,22356935
07-11-2022,109.400002,110.300003,108.800003,109.650002,107.758705,15333789
09-11-2022,110.199997,111.199997,107.650002,108.050003,106.18631,17033165
10-11-2022,108.050003,108.5,104.699997,106.699997,104.859589,12937603
11-11-2022,108,108.449997,106.699997,107.300003,105.449249,11075218
14-11-2022,107.300003,107.650002,105.449997,106.599998,104.761314,10547759
15-11-2022,106.699997,107.400002,105.449997,107.050003,105.20356,11675691
16-11-2022,108.949997,109.800003,107.349998,108.300003,106.431999,27372424
17-11-2022,108.199997,111.349998,108.099998,110.599998,108.692322,26985734
18-11-2022,110.849998,111.400002,106.400002,107.349998,105.498383,23962357
