Date,Open,High,Low,Close,INFY,Volume
07-10-2022,1446.349976,1457.849976,1440.150024,1451.199951,1397.670044,3994466
10-10-2022,1426.349976,1465,1426.349976,1462.650024,1408.697754,5274677
11-10-2022,1462.650024,1479.650024,1420.099976,1423.800049,1371.280762,12824774
12-10-2022,1437,1441.099976,1413.550049,1428.699951,1375.999878,5481467
13-10-2022,1431,1437.949951,1415,1419.900024,1367.524536,4821514
14-10-2022,1485,1494,1467.25,1474.25,1419.869629,14990688
17-10-2022,1476.900024,1495,1475.5,1489.949951,1434.990601,4286396
18-10-2022,1510,1510.949951,1497.25,1503.699951,1448.233521,4692004
19-10-2022,1504,1504.949951,1481.300049,1485.449951,1430.656738,3553171
20-10-2022,1475,1504,1474.199951,1500.900024,1445.536865,4583939
21-10-2022,1500.300049,1506,1491.349976,1500.5,1445.151367,3594485
24-10-2022,1518.5,1521.800049,1511,1517.849976,1461.86145,982837
25-10-2022,1528.099976,1532.900024,1521.050049,1526.300049,1469.999878,3914341
27-10-2022,1530.800049,1534.900024,1512.5,1523.949951,1483.776733,6760137
28-10-2022,1526,1527.949951,1507,1513.25,1473.358765,3053981
31-10-2022,1530.25,1546.400024,1530.25,1537.650024,1497.115601,4542336
01-11-2022,1553.050049,1575,1547.099976,1573,1531.533813,4542692
02-11-2022,1572,1572.75,1545,1553.300049,1512.353149,2938906
03-11-2022,1538.75,1543.900024,1521.650024,1530.75,1490.397583,3174027
04-11-2022,1520.449951,1520.449951,1501.150024,1514,1474.089111,4509682
07-11-2022,1521.400024,1527.900024,1491.099976,1507.449951,1467.71167,4898592
09-11-2022,1529,1529,1501.099976,1511.199951,1471.362793,3334755
10-11-2022,1485,1512,1485,1501.949951,1462.356689,3435763
11-11-2022,1546.650024,1573.5,1546.650024,1570.099976,1528.710205,7214098
14-11-2022,1575.150024,1591.400024,1568.449951,1585.300049,1543.509521,4908813
15-11-2022,1577.849976,1597.849976,1572.75,1594,1551.980225,3497614
16-11-2022,1597.150024,1609,1593.5,1602.800049,1560.548218,4497697
17-11-2022,1597.199951,1602.800049,1582.949951,1587.400024,1545.554199,3469515
