Date,Open,High,Low,Close,ITC,Volume
07-10-2022,336.799988,336.850006,331.299988,334.100006,326.898743,10506078
10-10-2022,330,331.450012,326.049988,327.850006,320.783447,9388996
11-10-2022,329,330.450012,325.100006,326.299988,319.266846,10609956
12-10-2022,327.950012,331.450012,324.75,330.100006,322.984955,10337544
13-10-2022,329.950012,331.299988,328,328.649994,321.566193,7266724
14-10-2022,332.299988,333.899994,330.850006,332.100006,324.941864,6424915
17-10-2022,331.100006,334.75,329.600006,332.25,325.088623,6929063
18-10-2022,333.950012,341,333.549988,340.299988,332.965088,20887417
19-10-2022,343.100006,347.450012,339.799988,346.350006,338.884705,16296080
20-10-2022,347,350.950012,344.799988,349.700012,342.162506,18474706
21-10-2022,353.200012,353.200012,344.5,345.600006,338.150879,27372160
24-10-2022,348.950012,349.700012,347,347.700012,340.205597,3170564
25-10-2022,349.450012,349.5,343.649994,346.299988,338.835785,17242211
27-10-2022,346.649994,348.350006,343.850006,345.799988,338.346527,18558597
28-10-2022,347.549988,348.600006,345.100006,345.799988,338.346527,13069167
31-10-2022,348,350.5,344.75,348.700012,341.184082,13825970
01-11-2022,349.25,350.5,347.200012,349.5,341.966797,19665200
02-11-2022,348.5,356.25,348.5,354.649994,347.005768,16781507
03-11-2022,354,358.5,353,353.700012,346.076294,10736155
04-11-2022,354,356,352.5,353.600006,345.978455,8386849
07-11-2022,355,356.350006,350,353.5,345.880554,10050303
09-11-2022,353.5,361.450012,353.200012,360.700012,352.925385,20611075
10-11-2022,359,359.899994,354.100006,356,348.326721,19327625
11-11-2022,360,360.950012,354.649994,356.350006,348.669159,10950902
14-11-2022,356.350006,356.950012,346.600006,347.200012,339.7164,17639889
15-11-2022,348.950012,348.950012,339.149994,345.25,337.808411,15451411
16-11-2022,345.700012,346.850006,341.649994,344.100006,336.683197,7604924
17-11-2022,344.100006,347.450012,342.600006,343.700012,336.291809,9994270
18-11-2022,343.700012,344.75,339.799988,341.049988,333.698914,7838297
21-11-2022,339.100006,340,334.399994,337.200012,329.931915,9198816
22-11-2022,337,341,335.700012,340.25,332.916168,6495845
23-11-2022,342,342,337.5,339.799988,332.475861,7768291
24-11-2022,339.799988,342.5,337.549988,340.75,333.405396,8140857
25-11-2022,341,341.899994,337.799988,340.299988,332.965088,6933254
28-11-2022,340,341.75,338.75,340.049988,332.720459,9902739
29-11-2022,340,345,340,342.299988,334.921997,10189855
30-11-2022,341.25,344.149994,339,340,332.67157,22556502
01-12-2022,341.700012,341.700012,336.799988,339.549988,332.231262,16630417
02-12-2022,339.350006,340.799988,336.75,337.149994,329.882996,8388835
05-12-2022,337.649994,338.850006,334.149994,336.75,329.491608,9716390
06-12-2022,334.100006,338.200012,334.100006,337.299988,330.029724,6327430
07-12-2022,338.5,341.5,336.649994,340.100006,332.769409,9813208
08-12-2022,340.200012,342.149994,337.5,338.399994,331.106049,6200447
09-12-2022,339.75,342.5,338,341.399994,334.041382,8132228
12-12-2022,341,344,340.100006,343.200012,335.802612,11214662
13-12-2022,344.5,346,342.399994,345.600006,338.150879,10693426
14-12-2022,346,347.350006,343.75,345.399994,337.955139,7379878
15-12-2022,344.75,346.100006,338,338.850006,331.546356,8154931
16-12-2022,337.5,338.899994,331.299988,335.100006,327.877197,12429280
19-12-2022,336.799988,342.350006,335.350006,340.5,333.160767,7812801
20-12-2022,340.049988,340.950012,336.75,340.149994,332.818298,5482218
21-12-2022,341,341.25,334.5,335.149994,327.926086,7045201
22-12-2022,335.649994,337.399994,329.899994,332.450012,325.284302,6584445
23-12-2022,330.899994,331.899994,325.350006,326.700012,319.658234,10073884
26-12-2022,326.5,335.100006,325.5,334.600006,327.38797,9566210
27-12-2022,335.600006,336.399994,330.149994,333.149994,325.969208,6727343
28-12-2022,332.850006,335,331.5,334.399994,327.192261,7737562
29-12-2022,334.350006,335.75,331.549988,335.350006,328.121796,8105359
30-12-2022,335.399994,336.75,330.5,331.549988,324.403687,6960264
02-01-2023,330.899994,334,329.649994,332.850006,325.675659,5951893
03-01-2023,331.5,333.350006,330.25,331.100006,323.963409,5997051
04-01-2023,331.850006,332.5,326,327,319.951752,6689769
05-01-2023,328.649994,333.899994,328.200012,333.450012,326.262756,8171437
