Date,Open,High,Low,Close,KALYANKJIL,Volume
07-10-2022,101.699997,104.650002,99.599998,101.75,101.45153,25057038
10-10-2022,100.199997,103.349998,99.599998,101.75,101.45153,9027012
11-10-2022,102.199997,103,97,97.599998,97.313698,4694240
12-10-2022,98.699997,99.25,94.5,96.349998,96.067368,5855614
13-10-2022,96.800003,103.800003,96.099998,101,100.703728,18262099
14-10-2022,102.900002,105.400002,101.5,103.150002,102.84742,13053826
17-10-2022,103.5,105,101.599998,103.849998,103.545364,5835504
18-10-2022,105,108.699997,104.300003,107.699997,107.384071,12007927
19-10-2022,108.050003,108.300003,104.800003,105.349998,105.04097,6134291
20-10-2022,104.900002,105.349998,104.25,104.5,104.193459,2889733
21-10-2022,104.900002,105.199997,99.5,100.050003,99.756516,6382838
24-10-2022,101.849998,103.75,101.550003,103.050003,102.747719,2140559
25-10-2022,103.650002,103.800003,99.550003,100.099998,99.806366,4049530
27-10-2022,100.449997,104.050003,100.199997,102.800003,102.498451,4327761
28-10-2022,102.800003,105.699997,102.5,104.650002,104.343025,7006246
31-10-2022,105.699997,106.449997,102,102.5,102.199326,3497589
01-11-2022,103.300003,103.300003,100.699997,102,101.700798,2921976
02-11-2022,102.5,103.349998,101.050003,101.800003,101.501381,1973158
03-11-2022,101.5,102.25,101,101.400002,101.102554,1485168
04-11-2022,102,105.25,101.849998,104.449997,104.143608,4400551
07-11-2022,105.5,106,104.099998,105.300003,104.991119,2593516
09-11-2022,106.099998,109.550003,104.5,107.300003,106.985252,5728242
10-11-2022,106.849998,109.400002,100.349998,102.800003,102.498451,9214947
11-11-2022,105,105.349998,102.5,103.449997,103.146538,2403396
14-11-2022,103.599998,103.900002,101.550003,102.800003,102.498451,1656094
15-11-2022,102.800003,104.25,102.550003,103.349998,103.046837,1156362
16-11-2022,103,103.400002,101,101.349998,101.052704,1533605
17-11-2022,101,102,100.150002,100.599998,100.304901,1433341
18-11-2022,101.5,101.699997,97.900002,98.5,98.21106,2281185
21-11-2022,99,99.5,95.75,96,95.718399,1844862
22-11-2022,96,96.449997,90.300003,91.199997,90.932472,4361399
23-11-2022,91.949997,99.800003,91.650002,98.699997,98.410469,8776915
24-11-2022,100.099998,100.900002,97.400002,98.949997,98.659737,3469494
25-11-2022,99.25,101,97.550003,100.150002,99.856224,2326912
28-11-2022,99.449997,101.300003,99,99.849998,99.557098,1785912
29-11-2022,99.900002,101.199997,98.25,98.949997,98.659737,1075669
30-11-2022,100,109.099998,100,105.900002,105.589355,22588468
01-12-2022,106.949997,106.949997,104.349998,106.050003,105.738914,3268207
02-12-2022,105.900002,110.650002,104.5,109.75,109.428062,6867433
05-12-2022,110.949997,116.400002,110.75,115.5,115.161194,12499766
06-12-2022,115.199997,115.400002,112.300003,113.550003,113.216919,4803825
07-12-2022,113.5,113.800003,108.650002,109.849998,109.527763,4496577
08-12-2022,110.699997,110.699997,107,107.800003,107.483788,2971015
09-12-2022,108.75,112,108.5,110.650002,110.325424,5120737
12-12-2022,112,120,111.349998,119,118.650925,10268098
13-12-2022,120.800003,122.949997,117.5,119.199997,118.850334,7540373
14-12-2022,120.099998,121.300003,116.599998,118.699997,118.351807,3807738
15-12-2022,118.699997,122,117.150002,118.949997,118.601074,3398250
16-12-2022,119,127.900002,119,125.449997,125.082001,18589084
19-12-2022,127.25,130,123.599998,129.199997,128.820999,8068881
20-12-2022,128.899994,131.800003,127.550003,131.050003,130.665588,7813644
21-12-2022,131,131.050003,122.650002,123.650002,123.287292,7066417
22-12-2022,124.300003,126.050003,117.699997,122.650002,122.290222,8231183
23-12-2022,121.949997,124,104.650002,107.699997,107.384071,8232069
26-12-2022,108,124.349998,106.900002,121.75,121.39286,10976444
27-12-2022,125,125.699997,120.699997,124,123.636261,6715085
28-12-2022,123.900002,133,123.550003,131.149994,130.765274,12084101
29-12-2022,132.800003,134.199997,125.150002,126.5,126.128929,8410119
30-12-2022,128,128.699997,125.599998,126.550003,126.178787,3659381
02-01-2023,126.599998,127.699997,124,125.099998,124.733032,3324015
03-01-2023,125.599998,127,123.5,124.699997,124.334206,2287722
04-01-2023,125.300003,126,118.25,120.800003,120.445648,4098252
05-01-2023,121.449997,124.199997,119.5,123.099998,122.738899,3911591
06-01-2023,123.099998,123.5,118.599998,120.400002,120.046822,3182421
09-01-2023,124.75,127.599998,123.5,125.199997,124.832741,6691289
10-01-2023,125.199997,125.800003,119.75,120.849998,120.495499,3424211
11-01-2023,121.25,121.349998,117.199997,119.300003,118.95005,3861722
12-01-2023,119.800003,119.800003,117.75,118.800003,118.451515,2248181
13-01-2023,119.400002,123.900002,118.5,123.050003,122.689049,4743171
16-01-2023,123.699997,123.699997,120.650002,121.199997,120.844467,1748002
17-01-2023,121.150002,122.75,119.699997,120.599998,120.246231,1543635
18-01-2023,121.050003,122.199997,118.5,119,118.650925,2125159
19-01-2023,118.199997,121.099998,118.199997,119.599998,119.249168,1576048
20-01-2023,119.5,120.75,118.449997,119.300003,118.95005,1110487
23-01-2023,119.900002,120.900002,118.5,119.599998,119.249168,1066390
24-01-2023,119.599998,120.449997,118.199997,118.900002,118.551224,922365
25-01-2023,118.900002,119.349998,114.199997,116.349998,116.008698,2094736
27-01-2023,117.150002,117.150002,105.599998,111,110.674393,4617836
30-01-2023,110.900002,111.949997,103.050003,105,104.691994,3079125
31-01-2023,106,119.25,104.25,117.949997,117.604004,12448242
01-02-2023,119.300003,119.300003,109.5,112.400002,112.07029,4738212
02-02-2023,112,115,110.050003,110.650002,110.325424,2568059
03-02-2023,111.449997,115,111.099998,113.949997,113.615738,3910365
06-02-2023,113.949997,120.75,113.5,119.900002,119.548286,4516688
07-02-2023,122,122,116.300003,117.699997,117.354736,4096400
08-02-2023,118.199997,119.849998,116.300003,117.150002,116.806358,2506620
09-02-2023,117,117.400002,113.349998,113.75,113.416328,1651480
10-02-2023,113,116.300003,111.5,113.650002,113.31662,1951198
13-02-2023,113.900002,114.949997,105,107.650002,107.334221,3577470
14-02-2023,108.25,108.449997,103.5,105.25,104.941261,3620495
15-02-2023,106.949997,113,106.550003,109.75,109.428062,4737610
16-02-2023,110.199997,111.949997,109.75,110.75,110.425125,1880672
17-02-2023,110.800003,111.699997,109.949997,111.150002,110.823959,1081194
20-02-2023,111.25,119.849998,110.349998,118.650002,118.301956,6713121
21-02-2023,119,119.849998,115.5,116.900002,116.557091,3401943
22-02-2023,115.300003,119.150002,114.349998,118,117.653862,3356984
23-02-2023,117.400002,119,115.949997,118.300003,117.95298,1985888
24-02-2023,119.300003,120.800003,117.050003,118.550003,118.202248,1752546
27-02-2023,117.300003,119.300003,114.800003,115.349998,115.011635,2023539
28-02-2023,115.400002,117.5,112.5,113.650002,113.31662,1754955
01-03-2023,114.300003,116.5,113.599998,115.400002,115.061493,2163429
02-03-2023,115.400002,117.25,114.050003,116.599998,116.257965,1348387
03-03-2023,117.25,119,116.199997,117.050003,116.70665,1677545
06-03-2023,117.900002,118.800003,116.5,117.349998,117.005768,1425239
08-03-2023,116.599998,117.949997,115.050003,117.150002,116.806358,1225072
09-03-2023,117.449997,123.300003,117.349998,118.900002,118.551224,4434720
10-03-2023,117.25,119.300003,115.849998,116.400002,116.058556,1674290
13-03-2023,116.349998,116.699997,106.800003,107.699997,107.384071,7242001
14-03-2023,109.699997,111.699997,107,107.900002,107.583488,3966578
15-03-2023,109.400002,111.949997,108.5,110.699997,110.375275,2363569
16-03-2023,111.449997,111.449997,108.199997,108.949997,108.630402,1482266
17-03-2023,109,122.5,108.550003,119.5,119.14946,20034019
20-03-2023,120.949997,124.599998,117.849998,118.5,118.152397,8960307
21-03-2023,119.449997,119.449997,117,117.550003,117.205185,1935891
22-03-2023,118.349998,120.099998,116.599998,118.550003,118.202248,2738601
23-03-2023,117.199997,119.25,116.099998,117.650002,117.304886,1589780
24-03-2023,118.25,119.650002,115.349998,116.599998,116.257965,2145212
27-03-2023,117.5,122.400002,113.25,118.650002,118.301956,4588226
28-03-2023,112,112,105.599998,107.150002,106.835686,47341344
29-03-2023,108,110.949997,105.650002,110.099998,109.777031,6995799
