Date,Open,High,Low,Close,LT,Volume
07-10-2022,1905,1928.949951,1903.050049,1924.550049,1903.032471,1469264
10-10-2022,1905,1917,1883.5,1909.650024,1888.29895,1656954
11-10-2022,1923.800049,1923.800049,1871.25,1878.949951,1857.942139,1047963
12-10-2022,1880,1916,1858.050049,1911.25,1889.881104,1907748
13-10-2022,1901,1912,1868.25,1876.150024,1855.173584,1303645
14-10-2022,1900,1936.75,1898.449951,1911.599976,1890.227173,1819114
17-10-2022,1902.900024,1914,1878.400024,1883.199951,1862.144653,2588147
18-10-2022,1893.099976,1931.199951,1893.099976,1918.099976,1896.654541,1401849
19-10-2022,1920,1947,1901.650024,1904.900024,1883.602173,1636141
20-10-2022,1898.650024,1917.800049,1886.300049,1904.150024,1882.860596,1374019
21-10-2022,1913.699951,1925,1867.099976,1876.75,1855.766846,2225676
24-10-2022,1906,1919.900024,1900,1909.75,1888.397827,269400
25-10-2022,1915,1954.650024,1891.550049,1949.099976,1927.307983,2136147
27-10-2022,1952.099976,1971.849976,1949.900024,1964.050049,1942.09082,2245395
28-10-2022,1972,1986,1963.800049,1975.050049,1952.967773,2013794
31-10-2022,1986,2034.650024,1978.199951,2023.099976,2000.480591,3176507
01-11-2022,2032,2056,1990.050049,2024.449951,2001.81543,4464211
02-11-2022,2036.5,2042,2000,2013.300049,1990.790161,1889651
03-11-2022,2006,2022.5,1993,2008.699951,1986.241577,1052241
04-11-2022,2010,2029.349976,2004.75,2015.099976,1992.569946,2312753
07-11-2022,2021.400024,2032,1993,2017.650024,1995.091431,1395070
09-11-2022,2025.050049,2036.949951,1996.25,2003.5,1981.099731,1301233
10-11-2022,1995,2001.849976,1970.199951,1977.650024,1955.538696,1261210
11-11-2022,2003.599976,2018.800049,1991.949951,2011.099976,1988.614746,1203125
14-11-2022,2013.050049,2021.900024,1995.25,1999.800049,1977.44104,1175155
15-11-2022,2003,2017,1978.099976,1996.550049,1974.227539,1450841
16-11-2022,1986,2009.849976,1985.050049,2003.599976,1981.198608,1195832
17-11-2022,2002,2059,2001.099976,2029.550049,2006.858521,3786182
18-11-2022,2039,2050.949951,2006.849976,2024.449951,2001.81543,1248459
21-11-2022,2019,2033,2007,2011.449951,1988.960815,714687
22-11-2022,2021.550049,2033.150024,2019.599976,2029.800049,2007.105591,1337869
23-11-2022,2038.949951,2044,2018,2025,2002.359253,1046988
24-11-2022,2030.5,2060,2028.400024,2052.199951,2029.255127,1611889
25-11-2022,2061,2095.800049,2058.449951,2062.75,2039.687134,2652761
28-11-2022,2064.350098,2072,2052,2064.449951,2041.368164,1105372
29-11-2022,2070,2072,2038.599976,2050.550049,2027.623657,1413764
30-11-2022,2053,2086,2045,2074.850098,2051.6521,2104550
01-12-2022,2085.25,2110,2079.449951,2104.25,2080.723389,2614357
02-12-2022,2096.100098,2098.899902,2069.149902,2085.5,2062.182861,1957264
05-12-2022,2095.949951,2096.800049,2068.850098,2085.600098,2062.281982,1767537
06-12-2022,2081,2100,2067,2093.5,2070.093506,1530731
07-12-2022,2096.300049,2144,2096.300049,2124,2100.252441,3438327
08-12-2022,2120,2175,2120,2167.699951,2143.463867,3743754
