Date,Open,High,Low,Close,MAXHEALTH,Volume
07-10-2022,428.549988,428.549988,410.049988,416,415.310059,1993097
10-10-2022,407.950012,412.799988,405,410.75,410.068787,549328
11-10-2022,411,413.899994,408.5,410.75,410.068787,1388503
12-10-2022,409,421.950012,407.5,420.700012,420.002289,1190107
13-10-2022,420,435.899994,414.049988,429.149994,428.438263,3306834
14-10-2022,430,436.799988,424.649994,427.75,427.040588,986280
17-10-2022,427.450012,435,417,419.5,418.80426,1166622
18-10-2022,424.350006,424.350006,404.200012,407.450012,406.774261,1679325
19-10-2022,420.5,420.5,401.100006,405.5,404.827484,1619569
20-10-2022,404.5,422,389.100006,413.600006,412.914063,9783251
21-10-2022,409,419.25,406.950012,411,410.318359,2141135
24-10-2022,413.799988,414.5,409.049988,411.549988,410.867432,73382
25-10-2022,413.700012,427.5,409.549988,424.850006,424.145386,1705603
27-10-2022,416.399994,444,416.25,419,418.305084,4810265
28-10-2022,421.25,434.850006,421.25,430.350006,429.636261,1464174
31-10-2022,433.700012,460,426.850006,456.299988,455.543213,3989852
01-11-2022,457.899994,470,447.600006,457.799988,457.040741,3595164
02-11-2022,460.100006,482.799988,458.049988,464.75,463.979218,5957403
03-11-2022,467.100006,476.399994,453.649994,462.049988,461.283691,3421138
04-11-2022,464.700012,467.75,459,462.850006,462.082367,3357290
07-11-2022,466.899994,467.5,452,457,456.242065,1617715
09-11-2022,465,469,454.5,458.25,457.48999,2879285
10-11-2022,459.899994,460.950012,453.200012,459.75,458.987518,1104547
11-11-2022,465,465.5,441.049988,445.100006,444.361816,1025869
14-11-2022,448.299988,449.5,440.5,442.600006,441.865967,895078
15-11-2022,442,442,431.25,433.149994,432.43161,2359680
16-11-2022,435.399994,435.399994,412.549988,424.799988,424.095459,4733324
17-11-2022,425.899994,435.5,410.5,418.100006,417.406586,3709065
18-11-2022,426,429.399994,417.399994,426.299988,425.592957,2601305
21-11-2022,428,441.700012,427.100006,432.850006,432.132111,5763831
22-11-2022,436.899994,441.799988,430.200012,439.350006,438.621338,4565741
23-11-2022,440.299988,442.350006,429.899994,432.850006,432.132111,2677658
24-11-2022,432.850006,443.350006,429.100006,436.149994,435.426636,3092254
25-11-2022,438,451.450012,426.149994,431.049988,430.335083,2323656
28-11-2022,432.649994,444.799988,429.5,439.600006,438.870941,1945104
29-11-2022,442.25,450.5,441.100006,442.899994,442.165436,1992295
30-11-2022,445.799988,454,439.200012,450.100006,449.353516,2776754
01-12-2022,450.5,458,448.049988,452.299988,451.549835,2737715
02-12-2022,452.799988,452.799988,445.049988,447.5,446.757813,806478
05-12-2022,451.25,452.149994,435.200012,437.600006,436.874237,1170296
06-12-2022,430,442.700012,430,438.700012,437.972443,650965
07-12-2022,441.600006,446.5,436.25,438.350006,437.623016,1824917
08-12-2022,439.950012,439.950012,429.049988,432.600006,431.882538,1401737
09-12-2022,436.149994,439.100006,429.5,432.700012,431.982391,974836
12-12-2022,431,441.200012,420.799988,432.899994,432.182037,1904838
13-12-2022,433.5,434.950012,425.200012,429.700012,428.987366,2783397
14-12-2022,430.200012,434.5,428.450012,431.850006,431.133789,1161594
