Date,Open,High,Low,Close,PFC,Volume
07-10-2022,84.639999,84.919998,83.599998,83.959999,76.814682,3965157
10-10-2022,83.400002,83.800003,82.639999,83.400002,76.302338,4531596
11-10-2022,83.519997,83.68,81.919998,82.120003,75.131279,5082987
12-10-2022,82.279999,82.400002,81.639999,82.080002,75.094681,6681196
13-10-2022,82.080002,82.599998,81.199997,81.559998,74.618927,6156270
14-10-2022,82.800003,82.800003,81.519997,81.639999,74.692123,3269811
17-10-2022,81.639999,81.639999,80.68,81.440002,74.50914,5176086
18-10-2022,81.879997,83.519997,81.199997,83.32,76.229149,9945991
19-10-2022,83.879997,84.480003,83.199997,83.400002,76.302338,5668398
20-10-2022,83.040001,84.599998,82.760002,84.440002,77.253838,4492118
21-10-2022,84.639999,84.959999,83.839996,84.360001,77.180641,6880515
24-10-2022,85.199997,85.440002,84.760002,85,77.766174,893367
25-10-2022,85.040001,85.239998,84,84.959999,77.729576,8853457
27-10-2022,85.199997,88.760002,84.720001,87.919998,80.437668,17172982
28-10-2022,88.32,91.279999,87.400002,91.040001,83.292145,12748801
31-10-2022,91.32,92.400002,90.400002,92.199997,84.353416,10310606
01-11-2022,92,93.839996,91.879997,92.720001,84.82917,10103050
02-11-2022,92.68,93.279999,91.599998,92.879997,84.975555,4746558
03-11-2022,92.559998,93.639999,92.160004,93.440002,85.487892,3795318
04-11-2022,93.68,94,92.919998,93.559998,85.597687,4225950
07-11-2022,94.040001,95.360001,93.68,95.199997,87.098114,8162465
09-11-2022,95.760002,96,94.080002,94.599998,86.549171,4078612
10-11-2022,94.400002,94.599998,93.120003,93.440002,85.487892,10101016
11-11-2022,94.800003,97.360001,94.279999,96.239998,88.049599,17573801
14-11-2022,96.800003,97.279999,96.040001,96.599998,88.378967,4543771
15-11-2022,96.839996,97.599998,95.599998,96.599998,88.378967,6537251
16-11-2022,96.639999,97.32,95.839996,96.400002,88.195992,6465222
17-11-2022,96.279999,99.839996,96.120003,98.440002,90.062378,17078585
18-11-2022,98.800003,100.32,97.959999,99.879997,91.379822,15120156
21-11-2022,100.32,101.080002,98.879997,100.040001,91.526215,9337696
22-11-2022,100.519997,100.720001,99.519997,100.400002,91.855576,10895381
23-11-2022,100.32,100.959999,99.800003,100.040001,91.526215,7379707
24-11-2022,97.959999,104,97.720001,103.279999,97.411659,19050102
25-11-2022,103.919998,109.559998,102.440002,109.199997,102.995277,30599963
28-11-2022,109,111.32,107.040001,107.68,101.561646,11799066
29-11-2022,108,108.559998,105.68,107.599998,101.486191,8619105
30-11-2022,108,109.120003,107.279999,108.720001,102.542557,7625332
01-12-2022,109.32,111.279999,107.720001,110.800003,104.504372,8592753
02-12-2022,111.599998,111.760002,109.599998,111.440002,105.108002,6577405
05-12-2022,111.599998,112.720001,110.279999,110.519997,104.24028,8541500
06-12-2022,110.239998,111.199997,109.239998,110.360001,104.089371,4243621
07-12-2022,109.919998,114.559998,109.919998,113.599998,107.145271,17939875
08-12-2022,114.239998,115.919998,113.480003,115.639999,109.069366,11325155
09-12-2022,116.440002,117.519997,112.68,113.519997,107.069817,9022553
12-12-2022,113.720001,116.480003,112.480003,116.199997,109.597542,7145238
