Date,Open,High,Low,Close,RECLTD,Volume
07-10-2022,95.5,95.5,94.400002,95.150002,84.67234,3603038
10-10-2022,94,94.449997,92.800003,93,82.759087,7257911
11-10-2022,93.25,93.400002,91.900002,92.050003,81.913712,4162842
12-10-2022,92.150002,92.849998,91.599998,92.400002,82.225166,4886498
13-10-2022,92.699997,92.699997,91.400002,91.949997,81.824715,6193522
14-10-2022,93.099998,93.199997,91.650002,91.900002,81.78022,5376042
17-10-2022,91.900002,92.099998,91.050003,91.650002,81.557762,5555192
18-10-2022,92.150002,94.300003,91.849998,93.900002,83.55999,8152180
19-10-2022,94.599998,94.699997,93.400002,93.699997,83.382019,7192398
20-10-2022,93.5,93.900002,92.599998,93.650002,83.337517,4971659
21-10-2022,94,94.349998,93.349998,93.650002,83.337517,4485275
24-10-2022,94.949997,94.949997,94.199997,94.650002,84.227409,1462832
25-10-2022,94.949997,95.099998,93.150002,94.400002,84.004929,9001250
27-10-2022,95.199997,97,94.300003,96.5,85.873688,17893756
28-10-2022,97.400002,100.300003,96.75,99.849998,88.85479,23243795
31-10-2022,101.25,103.099998,99.699997,102.550003,91.257477,18175401
01-11-2022,103,103.699997,102.5,103.150002,91.791405,9274933
02-11-2022,104,104.25,102.75,103.400002,92.013878,8339979
03-11-2022,103,104.300003,102.75,104.150002,92.68129,13117383
04-11-2022,104.199997,104.650002,103.599998,104,92.547806,12081873
07-11-2022,100.199997,101.849998,99.400002,101.550003,94.93161,13065969
09-11-2022,101.550003,101.900002,100.199997,100.849998,94.277237,6004697
10-11-2022,100.400002,100.400002,99,99.650002,93.155441,10072926
11-11-2022,100.400002,101.150002,99.150002,99.900002,93.389145,10433369
14-11-2022,100.25,100.599998,99.300003,100.099998,93.576118,3900469
15-11-2022,100.550003,100.800003,99.800003,100.25,93.716339,4061038
16-11-2022,100.25,100.849998,99.25,99.699997,93.202179,4992320
17-11-2022,99.650002,101.75,99.150002,100.300003,93.763092,10292615
18-11-2022,100.5,101.25,99.5,100.050003,93.529381,7268505
21-11-2022,100.099998,100.300003,99.050003,99.650002,93.155441,5618444
22-11-2022,100.150002,100.199997,99.449997,99.699997,93.202179,7762721
23-11-2022,100.099998,100.349998,99.449997,99.599998,93.108696,7302106
24-11-2022,99.949997,103.75,99.699997,103.300003,96.567566,18875982
25-11-2022,103.5,109.949997,103.099998,109.050003,101.942818,29877176
28-11-2022,109.75,113.800003,109.449997,110.25,103.064598,29859790
29-11-2022,110.800003,111.300003,109.099998,109.449997,102.316742,8830643
30-11-2022,109.849998,111,109.449997,110.349998,103.158089,11415274
01-12-2022,112,112,109.650002,110.949997,103.718979,9937044
02-12-2022,111.5,111.5,110.199997,111,103.765732,6129727
05-12-2022,111.400002,113.050003,110.5,111.849998,104.560326,11813355
06-12-2022,111.800003,112.150002,110.5,110.900002,103.672241,6283354
07-12-2022,110.800003,113.5,110.650002,113.050003,105.682121,16848824
08-12-2022,113.650002,115,113.199997,114.300003,106.850655,13925336
09-12-2022,114.949997,115.699997,109.650002,111.650002,104.37336,10866022
12-12-2022,111.349998,112.699997,110.550003,112.550003,105.214706,7912674
13-12-2022,112.699997,113,111.150002,111.949997,104.653809,9509178
14-12-2022,112.300003,114.050003,112.050003,113.300003,105.915825,7451278
15-12-2022,113.5,115.599998,112.849998,114.199997,106.757164,14198423
16-12-2022,113.949997,114.349998,110.650002,110.900002,103.672241,9252067
19-12-2022,111,113.800003,111,113.300003,105.915825,7003000
20-12-2022,113.300003,113.300003,111,112.25,104.934258,5323451
21-12-2022,112.800003,112.949997,109.800003,110.050003,102.87764,9464490
22-12-2022,111.599998,113.449997,110.150002,112.5,105.167961,17816529
23-12-2022,112,112.449997,108.25,108.75,101.662361,12678874
26-12-2022,108.800003,114.599998,108,114,106.570198,11744504
27-12-2022,114.5,115.449997,112.300003,113.449997,106.056046,7594964
