Date,Open,High,Low,Close,SDBL,Volume
07-10-2022,129.850006,133.5,126.800003,131.949997,131.714127,786499
10-10-2022,131,131.5,125.400002,125.400002,125.175842,448440
11-10-2022,121.099998,124.599998,119.150002,119.150002,118.937019,971487
12-10-2022,118,123.849998,113.199997,121.400002,121.182991,1352539
13-10-2022,122.300003,124.5,117.349998,119.300003,119.086746,428506
14-10-2022,122.949997,123,118.199997,118.900002,118.687462,343178
17-10-2022,120,124.800003,118.25,124.699997,124.477089,882059
18-10-2022,126,128.449997,123.699997,124.550003,124.327362,523767
19-10-2022,125,127.900002,122.900002,125.5,125.275665,388649
20-10-2022,126.550003,126.75,121,124.550003,124.327362,281319
21-10-2022,118.349998,118.349998,118.349998,118.349998,118.138443,254177
24-10-2022,112.449997,114.949997,112.449997,112.449997,112.248985,656450
25-10-2022,106.849998,110.050003,106.849998,106.849998,106.658997,2145524
27-10-2022,105.150002,112,102.599998,110.949997,110.751671,1331204
28-10-2022,112.800003,114,106.300003,110.599998,110.402298,639397
31-10-2022,108.849998,111.900002,106.699997,108.599998,108.405869,411986
01-11-2022,109,110.400002,105.300003,106.599998,106.409447,422077
02-11-2022,107.800003,111,105.099998,109.150002,108.954887,639123
03-11-2022,109,111.900002,108.699997,111,110.801582,326288
04-11-2022,111.400002,116.550003,111.099998,116.400002,116.191933,991236
07-11-2022,116.800003,117.5,113,114.949997,114.744522,456436
09-11-2022,117.849998,117.849998,109.25,111.5,111.30069,466524
10-11-2022,111,112.900002,108.800003,110.900002,110.701759,186135
11-11-2022,111.75,113.599998,110.5,112.099998,111.899612,192152
14-11-2022,112.5,113.900002,109.550003,110.75,110.552032,134122
15-11-2022,112.849998,116.25,109.800003,116.25,116.042198,584742
16-11-2022,116.949997,122.050003,116,121.650002,121.432549,1282764
17-11-2022,123,123,118.099998,121.099998,120.88353,372506
18-11-2022,121.949997,122.199997,115.599998,117.050003,116.840775,256042
21-11-2022,117.099998,122.900002,114.900002,122.900002,122.680313,591279
22-11-2022,124,129,123.400002,127.599998,127.37191,1305773
23-11-2022,128.449997,133.949997,125.400002,133.949997,133.710556,2267568
24-11-2022,137.300003,140.600006,137.300003,140.600006,140.348679,2788442
25-11-2022,142.850006,144.399994,133.600006,134.600006,134.359406,1349806
28-11-2022,133,141.300003,131.199997,140.899994,140.648132,1204511
29-11-2022,142,145.600006,138.199997,141.5,141.247055,724955
30-11-2022,142.850006,143.850006,137.600006,139.050003,138.801453,411135
01-12-2022,139,140.75,136.350006,139.199997,138.951172,254035
02-12-2022,139,145.850006,138.850006,144.850006,144.850006,1290670
05-12-2022,148.649994,150.949997,143.149994,146.949997,146.949997,740921
06-12-2022,147.699997,150.75,141.949997,142.699997,142.699997,450101
07-12-2022,141.050003,145.399994,138.050003,140.899994,140.899994,592886
08-12-2022,141.300003,143.899994,138.5,141.25,141.25,290707
09-12-2022,143,148.199997,143,145.550003,145.550003,912983
12-12-2022,148,148,138.300003,138.699997,138.699997,589651
13-12-2022,139.5,141.350006,135,136.300003,136.300003,396531
14-12-2022,136,139.100006,132.800003,133.699997,133.699997,466584
15-12-2022,134.449997,136.25,127.050003,127.050003,127.050003,1001142
16-12-2022,126.349998,131.699997,123.599998,129.149994,129.149994,507883
19-12-2022,130.5,131.899994,124.5,125.150002,125.150002,375541
20-12-2022,128,128.600006,123.5,127.849998,127.849998,269587
21-12-2022,129,129.399994,121.5,121.650002,121.650002,509701
22-12-2022,122.050003,124.099998,115.599998,115.599998,115.599998,885293
23-12-2022,109.849998,116.099998,109.849998,113.050003,113.050003,1131189
26-12-2022,113.400002,117.800003,113.050003,116.5,116.5,307089
27-12-2022,116.5,119.050003,113.599998,115.349998,115.349998,270744
28-12-2022,116.849998,117.5,112.199997,112.699997,112.699997,241135
29-12-2022,112,118.300003,111.099998,118.300003,118.300003,371590
30-12-2022,121.800003,122.800003,119.400002,119.849998,119.849998,254471
02-01-2023,121.699997,121.699997,117.300003,118.599998,118.599998,216140
03-01-2023,118,118,114.25,115.400002,115.400002,394160
04-01-2023,117,117.800003,109.800003,115.699997,115.699997,1077365
05-01-2023,116.949997,117.25,113.150002,114.699997,114.699997,219791
06-01-2023,116.099998,120.400002,114.5,120.400002,120.400002,565592
09-01-2023,121.050003,122.900002,117,117.900002,117.900002,226136
10-01-2023,118.75,119.5,116.5,117.300003,117.300003,197068
11-01-2023,117.349998,119.349998,116.699997,117.599998,117.599998,138523
12-01-2023,118.5,119,116,116.449997,116.449997,138530
13-01-2023,117.800003,117.800003,115.050003,116.199997,116.199997,135282
16-01-2023,116.199997,121.949997,115.599998,120.800003,120.800003,357077
17-01-2023,122,124.550003,121,124.050003,124.050003,381739
18-01-2023,125.349998,127,123.599998,123.949997,123.949997,296618
19-01-2023,123.900002,124.849998,121.050003,123.550003,123.550003,208083
20-01-2023,124.5,124.5,122.300003,123.300003,123.300003,132262
23-01-2023,125,125,120.099998,120.849998,120.849998,105939
24-01-2023,120.199997,123.25,120.050003,121.650002,121.650002,241255
25-01-2023,127.699997,127.699997,124.099998,127.699997,127.699997,612398
27-01-2023,129.699997,130.399994,122,125.199997,125.199997,480509
30-01-2023,124,127.300003,121.699997,122.449997,122.449997,256190
31-01-2023,123.449997,126.800003,121.199997,124.400002,124.400002,363817
01-02-2023,125.699997,125.75,118.199997,118.349998,118.349998,298636
02-02-2023,118,119.550003,115.099998,117.849998,117.849998,211263
03-02-2023,120,120,112.300003,116.699997,116.699997,324764
06-02-2023,117.550003,117.550003,113.550003,114.599998,114.599998,212856
07-02-2023,116.050003,120.400002,115,116.849998,116.849998,217545
08-02-2023,117,118.300003,112.650002,114.75,114.75,261934
09-02-2023,115,124.400002,113.099998,122.050003,122.050003,536103
10-02-2023,122,125.800003,119.150002,120.449997,120.449997,372792
13-02-2023,120.449997,125.099998,120,123.25,123.25,261204
14-02-2023,124.5,127.5,122.25,125.300003,125.300003,351886
15-02-2023,126.900002,126.900002,122.5,123.849998,123.849998,99967
16-02-2023,124.800003,124.800003,120.599998,121.800003,121.800003,223963
17-02-2023,121.099998,122.050003,118.150002,119.349998,119.349998,247817
20-02-2023,120,122.449997,117.75,119.800003,119.800003,184139
21-02-2023,120.650002,122.150002,115.449997,119.949997,119.949997,261689
22-02-2023,119.949997,120.150002,114.400002,115.550003,115.550003,294225
23-02-2023,117.300003,118.099998,114.699997,115.900002,115.900002,87077
24-02-2023,116.5,120.099998,114.599998,118.25,118.25,221812
27-02-2023,119.199997,119.199997,113.300003,114.099998,114.099998,133793
28-02-2023,114.599998,116.75,114,114.599998,114.599998,213751
01-03-2023,116.300003,118.699997,114.599998,118.050003,118.050003,154718
02-03-2023,119.099998,119.599998,117.099998,117.349998,117.349998,166658
03-03-2023,118.800003,120.75,117.25,119.400002,119.400002,286943
06-03-2023,120.75,123.449997,119.199997,122.849998,122.849998,290156
08-03-2023,121,139.100006,120.349998,135.149994,135.149994,1738420
09-03-2023,137,145.5,137,140.649994,140.649994,1617942
10-03-2023,139.199997,140.899994,135.899994,138,138,437436
13-03-2023,139.699997,145,136.350006,138,138,779907
14-03-2023,139.050003,142.800003,136.800003,138.899994,138.899994,491427
15-03-2023,140,147.350006,136.899994,138.300003,138.300003,1029989
16-03-2023,137.449997,137.850006,132.600006,135.199997,135.199997,372430
17-03-2023,136.300003,143.600006,135.399994,136.699997,136.699997,406163
20-03-2023,136.5,139.399994,134.199997,135.800003,135.800003,320680
21-03-2023,137.699997,137.949997,131,132,132,310504
