Date,Open,High,Low,Close,SUZLON,Volume
07-10-2022,7.75,7.85,7.6,7.65,7.65,106914627
10-10-2022,7.6,7.95,7.5,7.65,7.65,87610748
11-10-2022,7.6,7.65,7.05,7.1,7.1,144401518
12-10-2022,7.25,7.4,6.9,6.95,6.95,151580915
13-10-2022,6.95,6.95,6.6,6.8,6.8,164628722
14-10-2022,7,7,6.65,6.7,6.7,96966089
17-10-2022,6.8,7.6,6.75,7.45,7.45,249793767
18-10-2022,7.65,7.9,7.55,7.75,7.75,198163274
19-10-2022,7.85,9.3,7.8,9.25,9.25,612128665
20-10-2022,9.3,9.6,8.1,8.9,8.9,597335268
21-10-2022,8.95,9.15,8.55,8.65,8.65,93358438
24-10-2022,8.85,9,8.55,8.8,8.8,39087707
25-10-2022,8.8,8.8,8.35,8.4,8.4,56177096
27-10-2022,8.5,8.6,8,8.15,8.15,84184771
28-10-2022,8.2,8.25,8,8.1,8.1,36746894
31-10-2022,8.05,8.05,7.7,7.95,7.95,55869752
01-11-2022,8.05,8.6,7.95,8.2,8.2,133421528
02-11-2022,8.2,8.25,7.95,8,8,53878867
03-11-2022,8,8.2,7.95,8.05,8.05,30598842
04-11-2022,8.1,8.25,8.05,8.15,8.15,50647381
07-11-2022,8.2,8.45,8.05,8.15,8.15,101774826
09-11-2022,8.3,8.35,8.15,8.25,8.25,64888811
10-11-2022,8.25,8.4,8.15,8.3,8.3,53029082
11-11-2022,8.5,8.55,8.2,8.2,8.2,68794518
14-11-2022,8.3,8.35,8.2,8.25,8.25,44831594
15-11-2022,8.25,8.3,8.1,8.2,8.2,38977758
16-11-2022,8.2,8.25,8,8.1,8.1,58373865
17-11-2022,8.15,8.15,7.9,8,8,39721127
18-11-2022,8.05,8.15,8,8.1,8.1,34159447
21-11-2022,8.1,8.15,8,8.05,8.05,42965379
22-11-2022,8.1,8.1,7.95,8,8,27053295
23-11-2022,8.05,8.1,7.8,7.9,7.9,104163765
24-11-2022,7.95,8,7.85,7.9,7.9,21746462
25-11-2022,7.9,8.6,7.85,8.45,8.45,228974026
28-11-2022,8.6,9,8.5,8.8,8.8,202678872
29-11-2022,8.9,9.2,8.7,8.75,8.75,146846252
30-11-2022,8.8,9.35,8.75,9.25,9.25,226695872
01-12-2022,9.4,9.5,9,9.05,9.05,107156713
02-12-2022,9.1,9.5,8.85,9.45,9.45,179074652
05-12-2022,9.55,10.4,9.5,10,10,439811540
06-12-2022,10.05,10.5,9.95,10.2,10.2,241805841
07-12-2022,10.25,10.4,9.8,9.85,9.85,193786549
08-12-2022,9.9,10,9.7,9.8,9.8,96070967
09-12-2022,9.85,9.9,9.25,9.3,9.3,137661963
12-12-2022,9.3,10.35,9.25,10.25,10.25,278382339
13-12-2022,10.35,10.45,10.05,10.1,10.1,143072413
14-12-2022,10.2,11,10.1,10.9,10.9,336400273
15-12-2022,10.8,11.25,10.65,10.95,10.95,476242220
16-12-2022,11,11.2,10.4,10.75,10.75,254892146
19-12-2022,10.85,11.9,10.85,11.65,11.65,638219867
20-12-2022,11.75,12.15,11.2,11.5,11.5,425797132
21-12-2022,11.65,11.8,9.9,10.2,10.2,395402337
22-12-2022,10.4,10.65,9.55,9.95,9.95,377648968
23-12-2022,9.75,9.8,8.9,9,9,263244568
26-12-2022,9,10,9,9.8,9.8,270444702
27-12-2022,10.15,10.4,9.9,10.2,10.2,137402727
28-12-2022,10.2,10.35,9.9,10.05,10.05,119193235
29-12-2022,10,10.25,9.8,10.15,10.15,90408089
30-12-2022,10.25,11,10.15,10.6,10.6,251001496
02-01-2023,10.7,10.8,10.4,10.7,10.7,115707231
03-01-2023,10.75,11,10.6,10.75,10.75,126373567
04-01-2023,10.75,10.8,10.3,10.4,10.4,113590256
05-01-2023,10.55,10.6,10.05,10.25,10.25,142768735
06-01-2023,10.35,10.4,10.05,10.2,10.2,114171473
09-01-2023,10.35,10.55,10.2,10.2,10.2,88848012
